ID_REL_PIDLineas;ID_PID;ID_LINEA
PID_LINE_110;4600022667-001-03350-201CA-00003;03351-CT-400-H1-0057-N
PID_LINE_111;4600022667-001-03350-201CA-00003;"03351-GW-1""-C1-0036-N"
PID_LINE_112;4600022667-001-03350-201CA-00003;"03351-CT-3""-C2-0065-N"
PID_LINE_113;4600022667-001-03350-201CA-00004;03351-CT-200-H2-0002-N
PID_LINE_114;4600022667-001-03350-201CA-00004;"03351-PW-2""-C1-0090-N"
PID_LINE_115;4600022667-001-03350-201CA-00004;"03351-PW-2""-C1-0088-N"
PID_LINE_116;4600022667-001-03350-201CA-00005;"03351-IA-2""-G1-0110-N"
PID_LINE_117;4600022667-001-03350-201CA-00005;"03351-IA-2""-G1-0112-N"
PID_LINE_118;4600022667-001-03350-201CA-00006;"03351-FP-2""-C5-0121-N"
PID_LINE_119;4600022667-001-03350-201CA-00006;"03351-FP-1""-C5-0122-N"
PID_LINE_120;4600022667-001-03350-201CA-00003;"03351-PW-2""-C1-0092-N"
PID_LINE_121;4600022667-001-03350-201CA-00004;"03351-CT-4""-C2-0003-N"
PID_LINE_122;4600022667-001-03350-201CA-00004;"03351-CT-4""-C2-0004-N"
