ID_LOG_MAT;MODO_INGRESO;ID_ASIGNACION;ID_MTO;DESC_BODEGA;DIAM_BODEGA;EVENTO;DOCUMENTO;CANT_MOVIMIENTO;FOTO_RESPALDO;UBIC_DESTINO;ID_BULK_ORIGEN;FECHA;USUARIO
c8142650;ASIGNADO A LÍNEA;M-00046;1.426;;;RECEPCIÓN;;0,76;;;;12/03/2026;Enzo Santambrogio
c8142651;ASIGNADO A LÍNEA;M-00047;1.427;;;RECEPCIÓN;;0,28;;;;12/03/2026;Enzo Santambrogio
c8142652;ASIGNADO A LÍNEA;M-00048;1.428;;;RECEPCIÓN;;0,42;;;;12/03/2026;Enzo Santambrogio
c8142653;ASIGNADO A LÍNEA;M-00049;1.429;;;RECEPCIÓN;;0,29;;;;12/03/2026;Enzo Santambrogio
c8142654;ASIGNADO A LÍNEA;M-00050;1.430;;;RECEPCIÓN;;0,29;;;;12/03/2026;Enzo Santambrogio
c8142655;ASIGNADO A LÍNEA;M-00051;1.431;;;RECEPCIÓN;;6;;;;12/03/2026;Enzo Santambrogio
c8142656;ASIGNADO A LÍNEA;M-00052;1.432;;;RECEPCIÓN;;4,13;;;;12/03/2026;Enzo Santambrogio
c8142657;ASIGNADO A LÍNEA;M-00053;1.434;;;RECEPCIÓN;;1,97;;;;12/03/2026;Enzo Santambrogio
c8142658;ASIGNADO A LÍNEA;M-00054;1.435;;;RECEPCIÓN;;0,09;;;;12/03/2026;Enzo Santambrogio
c8142659;ASIGNADO A LÍNEA;M-00055;1.437;;;RECEPCIÓN;;0,85;;;;12/03/2026;Enzo Santambrogio
c8142660;ASIGNADO A LÍNEA;M-00056;1.438;;;RECEPCIÓN;;0,91;;;;12/03/2026;Enzo Santambrogio
c8142661;ASIGNADO A LÍNEA;M-00057;1.439;;;RECEPCIÓN;;0,42;;;;12/03/2026;Enzo Santambrogio
c8142662;ASIGNADO A LÍNEA;M-00058;1.440;;;RECEPCIÓN;;0,9;;;;12/03/2026;Enzo Santambrogio
c8142663;ASIGNADO A LÍNEA;M-00059;1.441;;;RECEPCIÓN;;6;;;;12/03/2026;Enzo Santambrogio
c8142664;ASIGNADO A LÍNEA;M-00060;1.442;;;RECEPCIÓN;;0,73;;;;12/03/2026;Enzo Santambrogio
c8142665;ASIGNADO A LÍNEA;M-00061;1.443;;;RECEPCIÓN;;0,35;;;;12/03/2026;Enzo Santambrogio
c8142666;ASIGNADO A LÍNEA;M-00062;1.444;;;RECEPCIÓN;;1,45;;;;12/03/2026;Enzo Santambrogio
c8142667;ASIGNADO A LÍNEA;M-00063;1.445;;;RECEPCIÓN;;0,14;;;;12/03/2026;Enzo Santambrogio
c8142668;ASIGNADO A LÍNEA;M-00064;1.446;;;RECEPCIÓN;;0,77;;;;12/03/2026;Enzo Santambrogio
c8142669;ASIGNADO A LÍNEA;M-00065;1.447;;;RECEPCIÓN;;0,88;;;;12/03/2026;Enzo Santambrogio
c8142670;ASIGNADO A LÍNEA;M-00066;1.448;;;RECEPCIÓN;;0,88;;;;12/03/2026;Enzo Santambrogio
c8142671;ASIGNADO A LÍNEA;M-00067;1.449;;;RECEPCIÓN;;0,33;;;;12/03/2026;Enzo Santambrogio
c8142672;ASIGNADO A LÍNEA;M-00068;1.451;;;RECEPCIÓN;;0,28;;;;12/03/2026;Enzo Santambrogio
c8142673;ASIGNADO A LÍNEA;M-00069;1.452;;;RECEPCIÓN;;0,42;;;;12/03/2026;Enzo Santambrogio
c8142674;ASIGNADO A LÍNEA;M-00070;1.453;;;RECEPCIÓN;;2,38;;;;12/03/2026;Enzo Santambrogio
c8142675;ASIGNADO A LÍNEA;M-00071;1.454;;;RECEPCIÓN;;0,18;;;;12/03/2026;Enzo Santambrogio
c8142676;ASIGNADO A LÍNEA;M-00072;1.455;;;RECEPCIÓN;;0,18;;;;12/03/2026;Enzo Santambrogio
c8142677;ASIGNADO A LÍNEA;M-00073;1.456;;;RECEPCIÓN;;0,18;;;;12/03/2026;Enzo Santambrogio
c8142678;ASIGNADO A LÍNEA;M-00074;1.457;;;RECEPCIÓN;;0,4;;;;12/03/2026;Enzo Santambrogio
c8142679;ASIGNADO A LÍNEA;M-00075;1.460;;;RECEPCIÓN;;0,76;;;;12/03/2026;Enzo Santambrogio
c8142680;ASIGNADO A LÍNEA;M-00076;1.462;;;RECEPCIÓN;;1,03;;;;12/03/2026;Enzo Santambrogio
c8142681;ASIGNADO A LÍNEA;M-00077;1.463;;;RECEPCIÓN;;0,1;;;;12/03/2026;Enzo Santambrogio
c8142682;ASIGNADO A LÍNEA;M-00078;1.464;;;RECEPCIÓN;;6;;;;12/03/2026;Enzo Santambrogio
c8142683;ASIGNADO A LÍNEA;M-00079;1.465;;;RECEPCIÓN;;1,04;;;;12/03/2026;Enzo Santambrogio
c8142684;ASIGNADO A LÍNEA;M-00080;1.466;;;RECEPCIÓN;;4,69;;;;12/03/2026;Enzo Santambrogio
c8142685;ASIGNADO A LÍNEA;M-00081;1.468;;;RECEPCIÓN;;0,15;;;;12/03/2026;Enzo Santambrogio
c8142686;ASIGNADO A LÍNEA;M-00082;1.469;;;RECEPCIÓN;;0,06;;;;12/03/2026;Enzo Santambrogio
c8142687;ASIGNADO A LÍNEA;M-00083;1.470;;;RECEPCIÓN;;1,58;;;;12/03/2026;Enzo Santambrogio
