ID_VALVULA;ID_MTO;ID_LINEA;CLASE;DESCRIPCION;TAG PIPING;Correlativo Maqueta;DIAGRAMA;TAG INSTRUMENTACION;DIAM.;CANTIDAD
VAL011;1.2519;"03351-PW-4""-C1-0016-N";C1;VÁLVULA DE BOLA 2 CUERPOS, API 608, CUERPO ASTM A216 GR. WCB, BOLA A316, ASIENTO RPTFE, ANSI B16.5CLASE 150 RF, LO;;;;;"4""";1
VAL012;1.2520;"03351-PW-4""-C1-0094-N";C1;VÁLVULA DE BOLA 2 CUERPOS, API 608, CUERPO ASTMA216 GR. WCB, BOLA A316, ASIENTO RPTFE, ANSI B16.5 CLASE 150 RF, LO;;;;;"4""";1
VAL013;1.2521;"03351-PW-4""-C1-0016-N";C1;VÁLVULA DE BOLA 2 CUERPOS, API 608, CUERPO ASTMA216 GR. WCB, BOLA A316, ASIENTO RPTFE, ANSI B16.5 CLASE 150 RF, LO;;;;;"4""";1
VAL014;1.2522;"03351-PW-4""-C1-0016-N";C1;VÁLVULA DE BOLA 2 CUERPOS, API 608, CUERPO ASTMA216 GR. WCB, BOLA A316, ASIENTO RPTFE, ANSI B16.5 CLASE 150 RF, PO;;;;;"4""";1
VAL015;1.2523;"03351-GW-1""-C1-0076-N";C1;"VÁLVULA DE BOLA 2 CUERPOS, MSS SP-110 CL 2000 CWP; WOG, FULL PORT, CUERPO ASTM A105, TRIM ASTM A216 TP316, ASIENTO PTFE REFORZADO, SELLOS PTFE, ASMEB1.20.1 NPT, LO";;;;;"1""";1
VAL016;1.2524;"03351-GW-1""-C1-0033-N";C1;"VÁLVULA DE BOLA 2 CUERPOS, MSS SP-110 CL 2000 CWP; WOG, FULL PORT, CUERPO ASTM A105, TRIM ASTM A216 TP316, ASIENTO PTFE REFORZADO, SELLOS PTFE, ASMEB1.20.1 NPT, LO";;;;;"1""";1
VAL017;1.2525;"03351-GW-1""-C1-0031-N";C1;"VÁLVULA DE BOLA 2 CUERPOS, MSS SP-110 CL 2000 CWP; WOG, FULL PORT, CUERPO ASTM A105, TRIM ASTM A216 TP316, ASIENTO PTFE REFORZADO, SELLOS PTFE, ASMEB1.20.1 NPT, LO";;;;;"3/4""";1
VAL018;1.2526;"03351-GW-1""-C1-0035-N";C1;"VÁLVULA DE BOLA 2 CUERPOS, MSS SP-110 CL 2000 CWP; WOG, FULL PORT, CUERPO ASTM A105, TRIM ASTM A216 TP316, ASIENTO PTFE REFORZADO, SELLOS PTFE, ASMEB1.20.1 NPT, LO";;;;;"1""";1
VAL019;1.2527;"03351-GW-1""-C1-0031-N";C1;"VÁLVULA DE BOLA 2 CUERPOS, MSS SP-110 CL 2000 CWP; WOG, FULL PORT, CUERPO ASTM A105, TRIM ASTM A216 TP316, ASIENTO PTFE REFORZADO, SELLOS PTFE, ASMEB1.20.1 NPT, LO";;;;;"1""";1
VAL020;1.2528;"03351-GW-1""-C1-0035-N";C1;"VÁLVULA DE BOLA 2 CUERPOS, MSS SP-110 CL 2000 CWP; WOG, FULL PORT, CUERPO ASTM A105, TRIM ASTM A216 TP316, ASIENTO PTFE REFORZADO, SELLOS PTFE, ASMEB1.20.1 NPT, LO";;;;;"3/4""";1
VAL021;1.2529;"03351-GW-1""-C1-0033-N";C1;"VÁLVULA DE BOLA 2 CUERPOS, MSS SP-110 CL 2000 CWP; WOG, FULL PORT, CUERPO ASTM A105, TRIM ASTM A216 TP316, ASIENTO PTFE REFORZADO, SELLOS PTFE, ASMEB1.20.1 NPT, LO";;;;;"1""";1
VAL022;1.2530;"03351-GW-1""-C1-0035-N";C1;"VÁLVULA DE BOLA 2 CUERPOS, MSS SP-110 CL 2000 CWP; WOG, FULL PORT, CUERPO ASTM A105, TRIM ASTM A216 TP316, ASIENTO PTFE REFORZADO, SELLOS PTFE, ASMEB1.20.1 NPT, LO";;;;;"3/4""";1
VAL023;1.2531;"03351-GW-1""-C1-0075-N";C1;"VÁLVULA DE BOLA 2 CUERPOS, MSS SP-110 CL 2000 CWP; WOG, FULL PORT, CUERPO ASTM A105, TRIM ASTM A216 TP316, ASIENTO PTFE REFORZADO, SELLOS PTFE, ASMEB1.20.1 NPT, LO";;;;;"1""";1
